title,key,tempo
831-miss-you-3000-official-music-video-(mp3convert.org).mp3,F# major,129.19921875
ado-unravel-(mp3convert.org).mp3,A# minor,135.99917763157896
aimer-music-video-full-ver-(mp3convert.org).mp3,C# major,97.50884433962264
alia-official-music-video-(mp3convert.org).mp3,A minor,90.66611842105263
anO_od.mp3,F major,122.28260869565217
Ave Mujica (Jinkala).mp3,G minor,110.29411764705883
back number 高嶺の花子さん.mp3,A major,137.1951219512195
back-number-(mp3convert.org).mp3,F major,147.65625
back-number-full-(mp3convert.org) (2).mp3,D minor,161.4990234375
back-number-full-(mp3convert.org).mp3,D# major,79.50721153846153
blue-encount-music-video-4-(mp3convert.org).mp3,D# major,95.703125
chainsaw-blood-vaundy-music-video-(mp3convert.org).mp3,C major,147.65625
charlie-puth-attention-official-video-(mp3convert.org).mp3,D# minor,99.38401442307692
coldplay-hymn-for-the-weekend-official-video-(mp3convert.org).mp3,D# major,90.66611842105263
eason-chan-k-official-mv-(mp3convert.org).mp3,F# minor,156.60511363636363
eill-official-music-video-(mp3convert.org).mp3,B major,86.1328125
gym-class-heroes-stereo-hearts-ft-adam-levine-official-video-(mp3convert.org).mp3,A major,90.66611842105263
jay-chou-hair-like-snow-official-music-video-(mp3convert.org).mp3,D# minor,114.84375
jay-chou-ming-ming-jiu-official-mv-(mp3convert.org).mp3,A major,112.34714673913044
jj-lin-beautiful-feat-g-e-m-official-hd-mv-(mp3convert.org).mp3,G major,87.5926906779661
jj-lin-light-of-sanctuary-official-music-video-(mp3convert.org).mp3,C major,135.99917763157896
jj-lin-little-big-us-official-hd-mv-(mp3convert.org).mp3,D major,126.04801829268293
jj-lin-never-learn-hd-mv-(mp3convert.org).mp3,A# minor,123.046875
jj-lin-practice-love-official-hd-mv-(mp3convert.org).mp3,D# major,67.99958881578948
jj-lin-the-story-of-us-official-music-video-(mp3convert.org).mp3,G# major,135.99917763157896
jj-lin-unchained-official-music-video-(mp3convert.org).mp3,A minor,135.99917763157896
Joker Xue 演員.mp3,B major,181.4516129032258
kana-boon-silhouette-(mp3convert.org).mp3,D major,92.28515625
kenshi-yonezu-kanden-(mp3convert.org).mp3,D# minor,103.359375
kenshi-yonezu-paprika-(mp3convert.org).mp3,D minor,103.359375
lil-nas-x-star-walkin-league-of-legends-worlds-anthem-(mp3convert.org).mp3,D minor,143.5546875
LONGMAN spiral.mp3,D# major,122.28260869565217
lyrics-(mp3convert.org).mp3,F# major,151.99908088235293
m-kenshi-yonezu-m87-(mp3convert.org).mp3,C# minor,112.34714673913044
mp3convert file-(mp3convert.org) (2).mp3,D major,95.703125
mp3convert file-(mp3convert.org)(1).mp3,G# major,156.60511363636363
mp3convert file-(mp3convert.org)(2).mp3,B minor,101.33272058823529
mp3convert file-(mp3convert.org)(3).mp3,C minor,166.70866935483872
mp3convert file-(mp3convert.org)(4).mp3,A# minor,135.99917763157896
mp3convert file-(mp3convert.org).mp3,A major,132.51201923076923
mrs-green-apple-inferno-(mp3convert.org).mp3,E major,92.28515625
mv-mao-buyi-official-hd-mv-(mp3convert.org).mp3,F minor,112.34714673913044
Nightcall.mp3,A minor,90.7258064516129
novelbright-official-music-video-(mp3convert.org) (2).mp3,F# major,90.66611842105263
novelbright-official-music-video-(mp3convert.org)(1).mp3,F# major,161.4990234375
novelbright-official-music-video-(mp3convert.org).mp3,F# major,156.60511363636363
official-dism-official-video-(mp3convert.org).mp3,F# major,129.19921875
official-dism-pretender-official-video-(mp3convert.org).mp3,G# major,92.28515625
official-music-video-(mp3convert.org) (2).mp3,C# minor,73.828125
official-music-video-(mp3convert.org)(1).mp3,D# major,147.65625
official-music-video-(mp3convert.org)(2).mp3,F major,90.66611842105263
official-music-video-(mp3convert.org).mp3,D# major,90.66611842105263
onlymp3.to - back number わたがし full -uy_BaRBJIzQ-192k-1702647678.mp3,C major,125.0
onlymp3.to - back number ヒロイン full -VPZK72W4Xxw-192k-1702648293.mp3,G major,76.01351351351352
onlymp3.to - Novelbright Walking with you Official Music Video -OxzdMNTJXmg-192k-1702648696.mp3,G major,92.21311475409836
onlymp3.to - Tower of Flower-Rwzy6Qt8gq8-192k-1702647646.mp3,E major,170.45454545454547
onlymp3.to - なとり Overdose-H08YWE4CIFQ-192k-1702648003.mp3,D major,117.1875
onlymp3.to - ヒグチアイ 悪魔の子 アニメスペシャルVer. Ai Higuchi Akuma no Ko Anime Special Ver-WPl10ZrhCtk-192k-1702647606.mp3,B minor,90.7258064516129
onlymp3.to - 二千年... 若しくは... 二万年後の君へ -Dl2mFdZN6M0-192k-1702648511.mp3,D major,152.02702702702703
onlymp3.to - 你的上好佳 白鴿 教堂的白鴿不會親吻烏鴉 就像我配不上星空下的他 動態歌詞Lyrics -Si_nFJ7JwbM-192k-1702647757.mp3,G major,130.8139534883721
onlymp3.to - 向井太一 リセット Official Music Video -oTH0s0iRA0g-192k-1702648270.mp3,F major,100.44642857142857
onlymp3.to - 林俊傑 JJ Lin 如果我還剩一件事情可以做 One Last Thing Official Music Video-nMcMf0nzN8A-192k-1702649690.mp3,G major,127.8409090909091
onlymp3.to - 林俊傑 JJ Lin 願與愁 Dust and Ashes Official Music Video-MISqtaNt1vg-192k-1702647792.mp3,E minor,144.23076923076923
panic-at-the-disco-high-hopes-official-video-(mp3convert.org).mp3,F major,161.4990234375
post-malone-circles-(mp3convert.org).mp3,C major,120.18531976744185
produced-by-vaundy-(mp3convert.org).mp3,G# major,103.359375
rage-of-dust-(mp3convert.org).mp3,D# major,120.18531976744185
stromae-alors-on-danse-official-video-(mp3convert.org).mp3,E minor,117.45383522727273
the-chainsmokers-coldplay-something-just-like-this-lyric-(mp3convert.org).mp3,D major,103.359375
twenty-one-pilots-chlorine-official-video-(mp3convert.org).mp3,C# major,90.66611842105263
twenty-one-pilots-heathens-from-suicide-squad-the-album-official-video-(mp3convert.org).mp3,E minor,90.66611842105263
uni-verse.mp3,D minor,122.28260869565217
vaundy-music-video-(mp3convert.org).mp3,D major,151.99908088235293
wanting-you-exist-in-my-song-trad-chinese-official-music-video-(mp3convert.org).mp3,G# minor,135.99917763157896
yoasobi-official-music-video-(mp3convert.org)(1).mp3,G# major,178.20581896551724
yoasobi-official-music-video-(mp3convert.org).mp3,A minor,84.72079918032787
グッバイ宣言.mp3,G minor,170.45454545454547
シル・ヴ・プレジデント.mp3,G# major,175.78125
メルト.mp3,D major,170.45454545454547
メロウ.mp3,D# major,96.98275862068965
ローリンガール.mp3.mp3,D major,96.98275862068965
你不是真正的快樂.mp3.mp3,B minor,165.44117647058823
再見.mp3,G minor,137.1951219512195
到此一遊.mp3,F minor,90.7258064516129
哪里都是你.mp3,F major,130.8139534883721
巨輪.mp3,D# major,140.625
年少無知.mp3,G major,77.05479452054794
張保仔.mp3,B minor,89.28571428571429
暗恋是一个人的事情.mp3.mp3,D major,122.28260869565217
最真心一對.mp3,A major,140.625
有点坏.mp3,E major,104.16666666666667
林俊傑 JJ Lin《交換餘生.mp3,D major,129.19921875
歲月如歌.mp3,D# major,140.625
泡沫.mp3.mp3,F# minor,137.1951219512195
猫生态度.mp3,E major,104.16666666666667
真相.mp3,B minor,125.0
秒速8公里.mp3,D# minor,156.25
絆ノ奇跡.mp3,F major,85.22727272727273
聽見下雨的聲音.mp3,E minor,170.45454545454547
衝上雲霄.mp3,F# major,181.4516129032258
达拉崩吧.mp3,C minor,119.68085106382979
逆光.mp3,F major,144.23076923076923
Blinding Lights.mp3,F minor,85.22727272727273
Bones.mp3,F minor,114.79591836734694
Demons.mp3,D# major,90.7258064516129
Die For You.mp3,D# minor,95.33898305084746
Fire Again.mp3,A minor,100.44642857142857
INTERNET OVERDOSE.mp3,D# minor,81.52173913043478
long shot.mp3,F major,133.92857142857142
Mirror.mp3,E major,127.8409090909091
Overfly.mp3,G# major,133.92857142857142
Payphone.mp3,B major,110.29411764705883
secret base ~君がくれたもの.mp3,F# major,144.23076923076923
Subtitle.mp3,F# major,130.8139534883721
Ticking Away.mp3,D minor,95.33898305084746
Youngblood.mp3,F major,119.68085106382979
シンデレラ.mp3,G minor,156.25
ヒバナ.mp3,F# major,100.44642857142857
ミズキリ.mp3,A# minor,90.7258064516129
不能說的祕密.mp3,C minor,144.23076923076923
妄想感傷代償連盟.mp3,G# major,110.29411764705883
宿命.mp3,F major,165.44117647058823
幸せ.mp3,F# minor,148.02631578947367
強風オールバック.mp3,E minor,133.92857142857142
徒花ネクロマンシー　Album ver#.mp3,A minor,114.79591836734694
我们的爱.mp3,C# minor,148.02631578947367
新時代 (虹色侍 cover).mp3,G major,175.78125
春日影.mp3,B major,193.9655172413793
栞.mp3,D major,87.890625
極楽浄土.mp3,F# minor,130.8139534883721
転生林檎.mp3,D minor,144.23076923076923
雪の音.mp3,D major,170.45454545454547
青花瓷.mp3,A minor,108.17307692307692
